TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
20/06/2019;Koira_tagui;An_g;gris;1ppm;1;3;5;20;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;0.5ppm;0.5;3;6;19;25;An_gambiae;Griselesf
17/06/2019;Koira_tagui;culexp;gris;1000ppm;1000;4;25;0;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;100ppm;100;4;27;0;27;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;10ppm;10;4;25;0;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;5ppm;5;4;27;0;27;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;1ppm;1;4;15;10;25;Culex_pipens;Griselesf
17/06/2019;Koira_tagui;culexp;gris;0.5ppm;0.5;4;11;16;27;Culex_pipens;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1000ppm;1000;4;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;100ppm;100;4;25;0;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;10ppm;10;4;24;1;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;5ppm;5;4;18;7;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;1ppm;1;4;5;20;25;An_gambiae;Griselesf
20/06/2019;Koira_tagui;An_g;gris;0.5ppm;0.5;4;6;19;25;An_gambiae;Griselesf
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;1000ppm;1000;1;1;25;26;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;100ppm;100;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;10ppm;10;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;5ppm;5;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;1ppm;1;1;0;25;25;Culex_pipens;Temoin
17/06/2019;Koira_tagui;culexp;ctl_bact-gris;0.5ppm;0.5;1;2;23;25;Culex_pipens;Temoin
20/06/2019;Koira_tagui;An_g;ctl_bact-gris;1000ppm;1000;1;0;26;26;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_bact-gris;100ppm;100;1;0;25;25;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_bact-gris;10ppm;10;1;2;28;30;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_bact-gris;5ppm;5;1;2;25;27;An_gambiae;Temoin
20/06/2019;Koira_tagui;An_g;ctl_bact-gris;1ppm;1;1;0;26;26;An_gambiae;Temoin
17/06/2019;Koira_tagui;culexp;bact_gris;1000ppm;1000;1;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;100ppm;100;1;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;10ppm;10;1;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;5ppm;5;1;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;1ppm;1;1;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;0.5ppm;0.5;1;11;14;25;Culex_pipens;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1000ppm;1000;1;25;0;25;An_gambiae;Bactivec+Griselesf
